Fuente,Author,Title,Cant.,Abstract,Cant.,Keywords,Cant.,Publication Title,Year,Url
Gscholar,"Echevarria, A. L.; Allende, IR Lobo; Juri, M. D.; Chani, J. M.; Dowdall, J. Torres; Martín, E.","Composición, estructura y variación estacional de la comunidad de aves del Jardín Botánico de la Fundación Miguel Lillo, Tucumán, Argentina",0,"Las alteraciones ambientales causadas por las actividades humanas impactan negativamente en la biodiversidad. Entre ellas, se espera que la transformación de ambientes naturales en urbanizaciones, se incremente durante este siglo por la rápida tasa de crecimiento poblacional humano. Esta predicción ha despertado el interés por determinar el rol que juegan en la conservación de la biodiversidad los espacios verdes dentro de las ciudades. La explotación agrícola y las urbanizaciones han remplazado casi completamente la Selva Pedemontana original (Yungas) de la Provincia de Tucumán, Argentina. Sin embargo, las ciudades de esta provincia presentan espacios verdes que difieren unos de otros en la estructura de su vegetación. El Jardín Botánico de la Fundación Miguel Lillo, en San Miguel de Tucumán, fue creado aproximadamente 60 años atrás y hoy se encuentra inserto en una matriz urbana con escasa vegetación. Este JBFML, de 0,7 hectáreas, presenta todos los estratos de vegetación del ambiente original. Durante dos años muestreamos la comunidad de aves del JBFML, realizando conteos de punto de radio fijo. Registramos 85 especies: dos exóticas, 14 de Yungas, y el resto especies autóctonas de amplia distribución y de origen Chaco-Pampeano. La comunidad fue dividida en cuatro ensambles según las tácticas de forrajeo. El ensamble con mayor diversidad y número de especies es el que busca el alimento desplazándose por la vegetación. Estos resultados, y otros estudios realizados en la misma ciudad, sugieren que las características estructurales de la vegetación juegan un rol importante en la conservación de las especies nativas de aves en la ciudad",0,"aves, conservación, espacios verdes urbanos, Selva Pedemontana, urbanización",0,Acta zoológica lilloana,2011,http://www.researchgate.net/profile/Ada_Echevarria/publication/274959230_Composicin_estructura_y_variacin_estacional_de_la_comunidad_de_aves_del_Jardn_Botnico_de_la_Fundacin_Miguel_Lillo_Tucumn_Argentina/links/552d50490cf21acb09217231.pdf
Scopus,"Ortiz, Pablo E.; Jayat, J. Pablo; Pardiñas, Ulyses FJ","Roedores y marsupiales en torno al límite Pleistoceno/Holoceno en Catamarca, Argentina: extinciones y evolución ambiental",0,"Se estudió una asociación fósil de micromamíferos recuperada en las proximidades de Las Juntas, Catamarca, Argentina (28°06′36″S–65°53′54″O, 1562 m). Una datación radiocarbónica realizada sobre una muestra de huesos largos permitió referir el conjunto al Pleistoceno tardío (13,4–13,0 ka cal). La asociación, constituida por 12 especies, está dominada por los roedores sigmodontinos Reithrodon auritus (Fischer) y Phyllotis sp., seguidos por Akodon spegazzinii Thomas y Andinomys edax Thomas. Se destaca la presencia del caviomorfo Abrocoma cinerea Thomas y los sigmodontinos Akodon simulator Thomas y Tafimys powelli Ortiz, Pardiñas y Steppan. Thylamys sp. fue el único representante de Didelphimorphia en el agregado. La observación microscópica de huesos y dientes mostró evidencias de corrosión, indicando que la muestra fue generada por la actividad depredadora de lechuzas. El conjunto recuperado es característico de áreas abiertas de altura, constituido por una mezcla de especies de pastizales de neblina, pastizales altoandinos y algunos elementos del bosque montano superior. La mayoría de las especies registradas vive actualmente en simpatría a una altitud mayor a 2500 m en el mismo cordón montañoso, en un ambiente más frío y más seco que el actual en el área del yacimiento. Se interpreta que las condiciones ambientales durante la depositación del agregado fueron más frías y secas que en la actualidad. La extrapolación de esta información a otras áreas no es posible, debido a la extrema variación orográfica y ambiental de la región que determina la existencia de diferentes conjuntos de micromamíferos en un área geográfica relativamente pequeña",0,"Didelphimorphia, Rodentia, Late Pleistocene, Paleoenvironments, Catamarca, Didelphimorphia, Rodentia, Pleistoceno tardío, Paleoambientes, Catamarca",0,Ameghiniana,2011,http://www.bioone.org/doi/abs/10.5710/AMGH.v48i3(355)
Scielo,Leandro Gastón Indavera Stiebe,ERRORES EN LA ESTRATEGIA ARGUMENTATIVA DE LA INTERPRETACIÓN PROVIDENCIALISTA DE LA MANO INVISIBLE DE ADAM SMITH: EL CASO DE LA TEORÍA DE LOS SENTIMIENTOS,0,"Generalmente, los que defienden la interpretación providencialista de la mano invisible de Adam Smith, sostienen que los individuos guiados por una mano invisible poseen ciertas cualidades que se espera se orientan a ciertos fines beneficiosos para la sociedad. Este sería, ni más ni menos, el sentido de la famosa expresión smitheana. En este artículo mostraré, por el contrario, que en el pasaje de la mano invisible de La teoría de los sentimientos morales los individuos guiados por una mano invisible no poseen las cualidades que se espera se orientan a dichos fines. Así, la interpretación providencialista no puede explicar qué cualidades poseen los terratenientes (los guiados por una mano invisible), de modo tal que se orienten al fin beneficioso en cuestión (la distribución de las cosas necesarias para la vida).",0,"Interpretación, mano invisible, providencialista, Teoría de los sentimientos morales",0,Discusiones Filosóficas,2011,http://www.scielo.org.co/scielo.php?pid=S0124-61272011000200013&script=sci_arttext&tlng=pt
Scielo,"Gomez, M. Daniela; Fontanarrosa, Gabriela; Ortiz, Pablo E.; Jayat, J. Pablo",Pequeños mamíferos predados por la Lechuza de Campanario (Tyto alba) en la ecorregión del Chaco Seco en el noroeste argentino,0,"Los hábitos tróficos de la Lechuza de Campanario (Tyto alba) han sido ampliamente estudiados en el centro y sur de Argentina. Sin embargo, en el noroeste los estudios son escasos. Se estudió la dieta de esta rapaz mediante el análisis de egagrópilas colectadas en seis localidades de la ecorregión del Chaco Seco. Se determinaron taxonómicamente los restos cráneo-dentarios encontrados y se calcularon para cada localidad el número mínimo de individuos, la frecuencia relativa y el porcentaje de biomasa aportado a la dieta por cada ítem presa. Se calcularon, además, la amplitud de nicho trófico y la amplitud de nicho trófico estandarizada, el promedio geométrico de los pesos de las presas y la diversidad. Se obtuvo un total de 1231 ítems presa, en su mayoría pertenecientes al género Calomys, dominante en cinco de las seis localidades. La abundancia de individuos varió entre 83-508 y en todas las localidades dos especies (Calomys cf. C. venustus/ fecundus y Calomys cf. C. laucha/musculinus) aportaron más del 50% de la biomasa consumida. La amplitud de nicho trófico estandarizada osciló entre 0.111-0.661. El promedio geométrico de los pesos fue inferior al establecido para el Neotrópico. La abundancia de Calomys spp. en la dieta estuvo positivamente relacionada con el grado de transformación de la tierra en agroecosistemas, mientras que la diversidad de especies estuvo negativamente relacionada. Los resultados de este estudio aportan datos novedosos para la ecorregión del Chaco Seco en el noroeste argentino, confirmando los patrones establecidos para la Lechuza de Campanario en otras regiones de Argentina",0,Amplitud de nicho trófico; Argentina; Chaco Seco; Dieta; Heterogeneidad ambiental; Tyto alba,0,El hornero,2012,http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0073-34072012000200002
Gscholar,"Gimenez, Guadalupe A.; Canton, Norma V.; Hladki, Adriana I.","Mixobiota del departamento Chilecito (La Rioja, Argentina)",0,"Gimenez, G. A.; N. V. Canton; A. I. Hladki. 2012. “Mixobiota del Departamento Chilecito (La Rioja, Argentina)”. Lilloa 49 (1). Se citan por primera vez para la región de Cuyo los géneros Hemitrichia y Ceratiomyxa, así como también a Arcyria oerstedii. Se amplia el área de distribución de Physarum pusillum para la provincia de La Rioja. Se describen los esporangios, incluyendo dibujos y fotografías. Se incluyen claves dicotómicas de los géneros presentes en La Rioja y de las especies citadas para el departamento Chilecito.",0,"Amoebozoa, Protista, taxonomía, zonas áridas, Myxomycetes.",0,Lilloa,2012,http://biblat.unam.mx/es/revista/lilloa/articulo/mixobiota-del-departamento-chilecito-la-rioja-argentina
Gscholar,"Ferreyra, Horacio; Castagno, Fabiana; Salgueiro, María Alejandra; del Milagro Tucci, Susana",Significados y efectos en torno a la evaluación de los aprendizajes escolares,0,"El presente artículo tiene por objetivo aportar algunas reflexiones en torno a las prácticas de evaluación y los sentidos y efectos que estas producen. Plantea una puesta en relación con las trayectorias escolares y las acciones e intervenciones docentes. Se pone en relieve la dimensión ético política, la responsabilidad, la confianza y la autoridad que en toda práctica evaluativa se juega, generando condiciones de posibilidad, de crecimiento, de potencialidad o no en los estudiantes evaluados. Asimismo, sobre la base de estos planteos se expone un trabajo llevado a cabo para revisar y fortalecer los procesos de autoevaluación institucional en las escuelas de la Provincia de Córdoba, Argentin",0,"Evaluación de aprendizajes, trayectorias escolares, enseñanza, significados",0,"Revista Interamericana de Investigación, Educación y Pedagogía, RIIEP",2012,http://revistas.usta.edu.co/index.php/riiep/article/view/1325
Gscholar,"Gordillo, Alejandra María; Mazzola, Nora Susana",Vinculación y Cooperación Interinstitucional para el Desarrollo Local: La Experiencia del Colegio Nacional Agrotécnico “Ing. Julio César Martínez”,0,"El presente trabajo pretende mostrar la labor de redes  sociales que la Universidad Nacional de Chilecito implementa con organismos privados, consolidando una oferta de educación técnica de nivel medio en una zona rural. El desarrollo de actividades extensionistas se nutre del vínculo con la sociedad en pos de lograr la inserción y articulación de saberes y acciones que permitan potenciar y  orientar esfuerzos conjuntos para contribuir a la conformación de una sociedad más justa y equitativa. En ese marco, pensar el aporte de la Universidad Pública al desarrollo sostenible, implica  asumir la importancia de la interdependencia de recursos, la conformación de redes inter organizacionales de vinculación y cooperación  y la definición de políticas institucionales participativas que fortalezcan el entramado del tejido social. La relación e  interdependencia organizacional y el trabajo en redes con instituciones públicas y privadas  permiten establecer  vínculos, definir y concretar acciones conjuntas que contribuyan a la cohesión social, la igualdad de oportunidades y faciliten el desarrollo del sujeto y de su entorno. Dicha interdependencia no sólo implica la persecución de objetivos comunes que expandan los alcances del capital social de los destinatarios directos de esos vínculos, sino también la expansión de sus beneficios a la sociedad en su conjunto. Se rescatan los aportes conceptuales de redes de políticas públicas como patrones de  relaciones complejas y dinámicas entre instituciones estatales y actores sociales que interactúan, para generar procesos de toma de decisiones basados en el consenso y la coordinación. Esta perspectiva se articula con la idea de desarrollo local, en tanto  este proyecto involucra a la comunidad pretendiendo ampliar las oportunidades de participar  y gestar las condiciones de progreso a partir de la transformación de su realidad socioeconómica. Una visión estratégica y el planeamiento participativo que contemple las características y particularidades del territorio intentan promover el adecuado aprovechamiento de los recursos locales y sus potencialidades. Ello contribuye a igualar en oportunidades a un sector vulnerable y contrarrestar la desigual distribución del capital educativo con impacto en la distribución del ingreso y  generador de condiciones desfavorables para acceder al mercado laboral con igualdad de oportunidades. El Colegio Nacional Agrotécnico es una experiencia innovadora en la política universitaria de la UNDEC. Han interactuado en distintos niveles y etapas actores públicos y privados para configurar una matriz  interorganizacional que rescata cuotas de participación ciudadana, responsabilidad social empresaria y universitaria, desarrollo social sustentable, inclusión, empoderamiento y compromiso con la educación pública.",0,Desarrollo local sostenible; Interinstitucionalidad; Redes interorganizacionales; Redes sociales; Responsabilidad social de las organizaciones,0,ExT: Revista de Extensión de la UNC,2012,http://www.revistas.unc.edu.ar/index.php/ext/article/view/972
Scielo,"Nanni, A. Sofía; Ortiz, Pablo E.; Jayat, J. Pablo; Martín, Eduardo",Variación estacional de la dieta de la Lechuza de Campanario (Tyto alba) en un ambiente perturbado del Chaco Seco argentino,0,"Se estudió la dieta de la Lechuza de Campanario (Tyto alba) en un sector del Chaco Seco en Santiago del Estero, Argentina. A partir de 332 egagrópilas colectadas entre 2007 y 2009 se analizó la variación estacional en el número y la biomasa de los ítems presa, la diversidad y la amplitud de nicho trófico. Entre los 1170 individuos predados se registraron 14 ítems presa, correspondientes a mamíferos (87%), aves (7%) e insectos (6%). Los roedores cricétidos constituyeron el grupo más frecuente (85%) y con el mayor aporte de biomasa (>75%), con una amplia dominancia de Calomys spp. Durante el primer año la abundancia de micromamíferos en la estación seca alcanzó valores máximos, en tanto que aves e insectos mostraron el patrón opuesto. La diversidad y la amplitud de nicho trófico presentaron valores máximos durante la estación húmeda y la superposición trófica fue más baja entre muestras de estaciones diferentes. La variación estacional de la biomasa en la dieta se debió principalmente al mayor consumo de aves durante la estación húmeda de 2008. En la estación húmeda del segundo año de muestreo la dieta presentó un comportamiento anómalo, en algunos casos completamente opuesto a lo esperado, probablemente relacionado a una marcada disminución en las precipitaciones. Los resultados confirman una dieta generalista-oportunista, con un alto consumo de micromamíferos durante la estación seca explicado por sus tamaños poblaciones elevados. La modificación del ambiente explicaría la extrema dominancia de Calomys spp., como ya fuera documentado en otras áreas de Argentina",0,Chaco Seco; Dieta estacional; Lechuza de Campanario; Nicho trófico; Noroeste argentino,0,El hornero,2012,http://www.scielo.org.ar/scielo.php?pid=S0073-34072012000200004&script=sci_arttext&tlng=pt
Gscholar,"Manzo, Alejandro Gabriel",Estado y Derecho en la era de la globalizacion neoliberal: La estructura del Estado argentino propia de la década de los 90/State and law in the neoliberal globalization era: the structure of the Argentinean State in the nineties,0,Este artículo analiza las características que poseyó el Estado neoliberal argentino durante los años 90 dividiendo su estructura en cinco áreas de reformas en las cuales los organismos multilaterales de crédito focalizaron por entonces su atención. Este análisis se realiza tomando como marco de referencia empírico a las leyes a través de las cuales estas reformas se instrumentalizaron.,0,"Derecho, Reformas del Estado y Neoliberalismo",0,Revista Direito e Práxis,2012,http://www.e-publicacoes.uerj.br/ojs/index.php/revistaceaju/article/view/3253
Gscholar,"Stieben, Leandro Indavera","La sorpresa, el asombro y la mano invisible de Júpiter",0,"El propósito de este artículo es, en primer lugar, exponer el análisis que Smith desarrolla en The History of Astronomy sobre el origen de las emociones de asombro y sorpresa. En este artículo se abordará, en segundo lugar, cómo Smith relaciona las características propias de un objeto o evento que produce asombro o sorpresa en el marco de las concepciones de los salvajes con relación al uso de la expresión “la mano invisible de Júpiter”. En tercer lugar, se analizará la explicación que Smith brinda sobre lo que es el “curso ordinario de las cosas”.",0,Smith;asombro; sorpresa; curso; ordinario,0,Páginas de Filosofía,2013,http://170.210.83.53/htdoc/revele/index.php/filosofia/article/view/6
